millis,sens0,sens1,sens2,sens3,sens4
89700000,1023,1023,1023,1023,1023
90000000,1023,1023,1023,1023,1023
90300000,1023,1023,1023,1023,1023
90600000,1023,1023,1023,1023,1023
90900000,1023,1023,1023,1023,1023
91200000,1023,1023,1023,1023,1023
91500000,1023,1023,1023,1023,1023
91800000,1023,1023,1023,1023,1023
92100000,1023,1023,1023,1023,1023
92400000,1023,1023,1023,1023,1023
92700000,1023,1023,1023,1023,1023
93000000,1023,1023,1023,1023,1023
93300000,1023,1023,1023,1023,1023
93600000,1023,1023,1023,1023,1023
93900000,1023,1023,1023,1023,1023
94200000,1023,1023,1023,1023,1023
94500000,1023,1023,1023,1023,1023
94800000,1023,1023,1023,1023,1023
95100000,1023,1023,1023,1023,1023
95400000,1023,1023,1023,1023,1023
95700000,1023,1023,1023,1023,1023
96000000,1023,1023,1023,1023,1023
96300000,1023,1023,1023,1023,1023
96600000,1023,1023,1023,1023,1023
96900000,1023,1023,1023,1023,1023
97200000,1023,1023,1023,1023,1023
97500000,1023,1023,1023,1023,1023
97800000,1023,1023,1023,1023,1023
98100000,1023,1023,1023,1023,1023
98400000,1023,1023,1023,1023,1023
98700000,1023,1023,1023,1023,1023
99000000,1023,1023,1023,1023,1023
99300000,1023,1023,1023,1023,1023
99600000,1023,1023,1023,1023,1023
99900000,1023,1023,1023,1023,1023
100200000,1023,1023,1023,1023,1023
100500000,1023,1023,1023,1023,1023
100800000,1023,1023,1023,1023,1023
101100000,1023,1023,1023,1023,1023
101400000,1023,1023,1023,1023,1023
101700000,1023,1023,1023,1023,1023
102000000,1023,1023,1023,1023,1023
102300000,1023,1023,1023,1023,1023
102600000,1023,1023,1023,1023,1023
102900000,1023,1023,1023,1023,1023
103200000,1023,1023,1023,1023,1023
103500000,1023,1023,1023,1023,1023
103800000,1023,1023,1023,1023,1023
104100000,1023,1023,1023,1023,1023
104400000,1023,1023,1023,1023,1023
104700000,1023,1023,1023,1023,1023
105000000,1023,1023,1023,1023,1023
105300000,1023,1023,1023,1023,1023
105600000,1023,1023,1023,1023,1023
105900000,1023,1023,1023,1023,1023
106200000,1023,1023,1023,1023,1023
106500000,1023,1023,1023,1023,1023
106800000,1023,1023,1023,1023,1023
107100000,1023,1023,1023,1023,1023
107400000,1023,1023,1023,1023,1023
107700000,1023,1023,1023,1023,1023
108000000,1023,1023,1023,1023,1023
108300000,1023,1023,1023,1023,1023
108600000,1023,1023,1023,1023,1023
108900000,1023,1023,1023,1023,1023
109200000,1023,1023,1023,1023,1023
109500000,1023,1023,1023,1023,1023
109800000,1023,1023,1023,1023,1023
110100000,1023,1023,1023,1023,1023
110400000,1023,1023,1023,1023,1023
110700000,1023,1023,1023,1023,1023
111000000,1023,1023,1023,1023,1023
111300000,1023,1023,1023,1023,1023
111600000,1023,1023,1023,1023,1023
111900000,1023,1023,1023,1023,1023
112200000,1023,1023,1023,1023,1023
112500000,1023,1023,1023,1023,1023
112800000,1023,1023,1023,1023,1023
113100000,1023,1023,1023,1023,1023
113400000,1023,1023,1023,1023,1023
113700000,1023,1023,1023,1023,1023
114000000,1023,1023,1023,1023,1023
114300000,1023,1023,1023,1023,1023
114600000,1023,1023,1023,1023,1023
114900000,1023,1023,1023,1023,1023
115200000,1023,1023,1023,1023,1023
115500000,1023,1023,1023,1023,1023
115800000,1023,1023,1023,1023,1023
116100000,1023,1023,1023,1023,1023
116400000,1023,1023,1023,1023,1023
116700000,1023,1023,1023,1023,1023
117000000,1023,1023,1023,1023,1023
117300000,1023,1023,1023,1023,1023
117600000,1023,1023,1023,1023,1023
117900000,1023,1023,1023,1023,1023
118200000,1023,1023,1023,1023,1023
118500000,1023,1023,1023,1023,1023
118800000,1023,1023,1023,1023,1023
119100000,1023,1023,1023,1023,1023
119400000,1023,1023,1023,1023,1023
119700000,1023,1023,1023,1023,1023
120000000,1023,1023,1023,1023,1023
120300000,1023,1023,1023,1023,1023
120600000,1023,1023,1023,1023,1023
120900000,1023,1023,1023,1023,1023
121200000,1023,1023,1023,1023,1023
121500000,1023,1023,1023,1023,1023
121800000,1023,1023,1023,1023,1023
122100000,1023,1023,1023,1023,1023
122400000,1023,1023,1023,1023,1023
122700000,1023,1023,1023,1023,1023
123000000,1023,1023,1023,1023,1023
123300000,1023,1023,1023,1023,1023
123600000,1023,1023,1023,1023,1023
123900000,1023,1023,1023,1023,1023
124200000,1023,1023,1023,1023,1023
124500000,1023,1023,1023,1023,1023
124800000,1023,1023,1023,1023,1023
125100000,1023,1023,1023,1023,1023
125400000,1023,1023,1023,1023,1023
125700000,1023,1023,1023,1023,1023
126000000,1023,1023,1023,1023,1023
126300000,1023,1023,1023,1023,1023
126600000,1023,1023,1023,1023,1023
126900000,1023,1023,1023,1023,1023
127200000,1023,1023,1023,1023,1023
127500000,1023,1023,1023,1023,1023
127800000,1023,1023,1023,1023,1023
128100000,1023,1023,1023,1023,1023
128400000,1023,1023,1023,1023,1023
128700000,1023,1023,1023,1023,1023
129000000,1023,1023,1023,1023,1023
129300000,1023,1023,1023,1023,1023
129600000,1023,1023,1023,1023,1023
129900000,1023,1023,1023,1023,1023
130200000,1023,1023,1023,1023,1023
130500000,1023,1023,1023,1023,1023
130800000,1023,1023,1023,1023,1023
131100000,1023,1023,1023,1023,1023
131400000,1023,1023,1023,1023,1023
131700000,1023,1023,1023,1023,1023
132000000,1023,1023,1023,1023,1023
132300000,1023,1023,1023,1023,1023
132600000,1023,1023,1023,1023,1023
132900000,1023,1023,1023,1023,1023
133200000,1023,1023,1023,1023,1023
133500000,1023,1023,1023,1023,1023
133800000,1023,1023,1023,1023,1023
134100000,1023,1023,1023,1023,1023
134400000,1023,1023,1023,1023,1023
134700000,1023,1023,1023,1023,1023
135000000,1023,1023,1023,1023,1023
135300000,1023,1023,1023,1023,1023
135600000,1023,1023,1023,1023,1023
135900000,1023,1023,1023,1023,1023
136200000,1023,1023,1023,1023,1023
136500000,1023,1023,1023,1023,1023
136800000,1023,1023,1023,1023,1023
137100000,1023,1023,1023,1023,1023
137400000,1023,1023,1023,1023,1023
137700000,1023,1023,1023,1023,1023
138000000,1023,1023,1023,1023,1023
138300000,1023,1023,1023,1023,1023
138600000,1023,1023,1023,1023,1023
138900000,1023,1023,1023,1023,1023
139200000,1023,1023,1023,1023,1023
139500000,1023,1023,1023,1023,1023
139800000,1023,1023,1023,1023,1023
140100000,1023,1023,1023,1023,1023
140400000,1023,1023,1023,1023,1023
140700000,1023,1023,1023,1023,1023
141000000,1023,1023,1023,1023,1023
141300000,1023,1023,1023,1023,1023
141600000,1023,1023,1023,1023,1023
141900000,1023,1023,1023,1023,1023
142200000,1023,1023,1023,1023,1023
142500000,1023,1023,1023,1023,1023
142800000,1023,1023,1023,1023,1023
143100000,1023,1023,1023,1023,1023
143400000,1023,1023,1023,1023,1023
143700000,1023,1023,1023,1023,1023
144000000,1023,1023,1023,1023,1023
144300000,1023,1023,1023,1023,1023
144600000,1023,1023,1023,1023,1023
144900000,1023,1023,1023,1023,1023
145200000,1023,1023,1023,1023,1023
145500000,1023,1023,1023,1023,1023
145800000,1023,1023,1023,1023,1023
146100000,1023,1023,1023,1023,1023
146400000,1023,1023,1023,1023,1023
146700000,1023,1023,1023,1023,1023
147000000,1023,1023,1023,1023,1023
147300000,1023,1023,1023,1023,1023
147600000,1023,1023,1023,1023,1023
147900000,1023,1023,1023,1023,1023
148200000,1023,1023,1023,1023,1023
148500000,1023,1023,1023,1023,1023
148800000,1023,1023,1023,1023,1023
149100000,1023,1023,1023,1023,1023
149400000,1023,1023,1023,1023,1023
149700000,1023,1023,1023,1023,1023
150000000,1023,1023,1023,1023,1023
150300000,1023,1023,1023,1023,1023
150600000,1023,1023,1023,1023,1023
150900000,1023,1023,1023,1023,1023
151200000,1023,1023,1023,1023,1023
151500000,1023,1023,1023,1023,1023
151800000,1023,1023,1023,1023,1023
152100000,1023,1023,1023,1023,1023
152400000,1023,1023,1023,1023,1023
152700000,1023,1023,1023,1023,1023
153000000,1023,1023,1023,1023,1023
153300000,1023,1023,1023,1023,1023
153600000,1023,1023,1023,1023,1023
153900000,1023,1023,1023,1023,1023
154200000,1023,1023,1023,1023,1023
154500000,1023,1023,1023,1023,1023
154800000,1023,1023,1023,1023,1023
155100000,1023,1023,1023,1023,1023
155400000,1023,1023,1023,1023,1023
155700000,1023,1023,1023,1023,1023
156000000,1023,1023,1023,1023,1023
156300000,1023,1023,1023,1023,1023
156600000,1023,1023,1023,1023,1023
156900000,1023,1023,1023,1023,1023
157200000,1023,1023,1023,1023,1023
157500000,1023,1023,1023,1023,1023
157800000,1023,1023,1023,1023,1023
158100000,1023,1023,1023,1023,1023
158400000,1023,1023,1023,1023,1023
158700000,1023,1023,1023,1023,1023
159000000,1023,1023,1023,1023,1023
159300000,1023,1023,1023,1023,1023
159600000,1023,1023,1023,1023,1023
159900000,1023,1023,1023,1023,1023
160200000,1023,1023,1023,1023,1023
160500000,1023,1023,1023,1023,1023
160800000,1023,1023,1023,1023,1023
161100000,1023,1023,1023,1023,1023
161400000,1023,1023,1023,1023,1023
161700000,1023,1023,1023,1023,1023
162000000,1023,1023,1023,1023,1023
162300000,1023,1023,1023,1023,1023
162600000,1023,1023,1023,1023,1023
162900000,1023,1023,1023,1023,1023
163200000,1023,1023,1023,1023,1023
163500000,1023,1023,1023,1023,1023
163800000,1023,1023,1023,1023,1023
164100000,1023,1023,1023,1023,1023
164400000,1023,1023,1023,1023,1023
164700000,1023,1023,1023,1023,1023
165000000,1023,1023,1023,1023,1023
165300000,1023,1023,1023,1023,1023
165600000,1023,1023,1023,1023,1023
165900000,1023,1023,1023,1023,1023
166200000,1023,1023,1023,1023,1023
166500000,1023,1023,1023,1023,1023
166800000,1023,1023,1023,1023,1023
167100000,1023,1023,1023,1023,1023
167400000,1023,1023,1023,1023,1023
167700000,1023,1023,1023,1023,1023
168000000,1023,1023,1023,1023,1023
168300000,1023,1023,1023,1023,1023
168600000,1023,1023,1023,1023,1023
168900000,1023,1023,1023,1023,1023
169200000,1023,1023,1023,1023,1023
169500000,1023,1023,1023,1023,1023
169800000,1023,1023,1023,1023,1023
170100000,1023,1023,1023,1023,1023
170400000,1023,1023,1023,1023,1023
170700000,1023,1023,1023,1023,1023
171000000,1023,1023,1023,1023,1023
171300000,1023,1023,1023,1023,1023
171600000,1023,1023,1023,1023,1023
171900000,1023,1023,1023,1023,1023
